Műfaj;Fogalma;Típus/Példa
Epikai műfajok (Nagy- és kisepika)
Regény;Nagy terjedelmű, szerteágazó cselekményű műfaj, amely hosszabb időszakot ölel fel és több szálon futó eseménysort, számos szereplőt mutat be.;Nagyepika (pl. Egri csillagok)
Novella;Rövid, tömör kisepikai műfaj, amely kevés szereplőt mozgat, egyetlen eseménysorra fókuszál, és gyakran sorsfordító csattanóval zárul.;Kisepika (pl. Pénz beszél)
Eposz;Kötött formájú, rendkívüli képességekkel rendelkező hősöket bemutató nagyepikai műfaj, amely egy egész közösség sorsára kiható eseményt dolgoz fel.;Hősepika (pl. Odüsszeia)
Mese;Kitalált eseményeken alapuló, gyakran csodás elemekkel átszőtt történet, amelyben a jó és a rossz küzdelme végül a jó győzelmével zárul.;Életkép/Tanmese (pl. népmesék)
Monda;Valóságos történelmi alapokkal rendelkező, de képzeletbeli, csodás elemekkel gazdagított történet egy nép múltjából.;Történeti epika (pl. Rege a csodaszarvasról)
Mítosz;A világ keletkezéséről, isteneiről és félisteneiről szóló történet, amely egy kultúra alapvető kérdéseire keresi a választ.;Mitológia (pl. Trójai mondakör)
Anektoda;Rövid, csattanós, többnyire közismert személyekhez kapcsolódó, vidám történet, amely jellemzően szóbeli hagyományon alapul.;Kisepika (pl. Mikszáth Kálmán művei)
Elbeszélés;A novella és a kisregény közötti átmeneti műfaj, amely a novellánál részletezőbb, de a regénynél szűkebb cselekményű.;Kisepika (pl. Tóték)
Legenda;Vallási tárgyú, általában egy szent életét, csodatételeit és erényeit bemutató kisepikai műfaj.;Kisepika (pl. Margit-legenda)
Napló és Memoár (Emlékirat);Személyes, valós eseményeken alapuló időrendi feljegyzés vagy visszatekintés, amely történelmi és irodalmi értékkel is bír.;Tényirodalom/Epika (pl. Márai Sándor naplói)
Krónika;Történelmi eseményeket időrendben megörökítő, gyakran fikciós vagy mondai elemeket is tartalmazó középkori epikai műfaj.;Történeti epika (pl. Képes Krónika)
Utópia és Disztópia;Egy elképzelt, ideális társadalmat (utópia) vagy egy elnyomó, sötét jövőképet (disztópia) bemutató regénytípus.;Nagyepika (pl. Orwell: 1984)
Evangélium;Jézus Krisztus életét, tanításait, halálát és feltámadását bemutató, a hit ébresztésére szolgáló ókeresztény műfaj.;Ókori epika (pl. Márk evangéliuma)
Kisregény;A novella és a regény között helyezkedik el. Kevesebb szereplőt mozgat, mint a regény, és általában egy fő konfliktusra koncentrál, de a novellánál kiterjedtebb.;Kisepika (pl. Hemingway: Az öreg halász és a tenger)
Fábula (Állatmese);Rövid, tanító célzatú, erkölcsi igazságot megfogalmazó mese, amelynek szereplői emberi tulajdonságokkal felruházott állatok.;Kisepika (pl. Aiszóposz, La Fontaine meséi)
Karcolat;Rövid, szellemes, egyetlen problémát, apró életképet vagy jelenséget felvillantó kisepikai műfaj.;Kisepika/Publicisztika (pl. Kosztolányi Dezső karcolatai)
Tárca;Személyes hangvételű, könnyed, publicisztikai és szépirodalmi határterületen mozgó újságírói műfaj.;Kisepika/Tényirodalom (pl. Mikszáth Kálmán tárcái)

Lírai műfajok
Dal;Egyszerű érzelmet kifejező, rövid, ritmikus, könnyen énekelhető lírai műfaj, amely gyakran ismétlődő versszakokból épül fel.;Líra (pl. Petőfi Sándor dalai)
